W H S V
0.00373330208526 28 141 217
0.00433747820111 28 144 213
0.00455986546398 29 142 210
0.00433747820111 29 142 210
0.00373330208526 31 144 207
0.00290749858744 31 145 206
0.00204887962545 33 147 208
0.00130642332847 33 148 207
0.000753740691637 36 150 212
0.000434870549116 35 143 224
0.000753740691637 35 143 224
0.00118210071139 38 143 228
0.00167748075871 38 146 224
0.00215392793018 43 151 225
0.00250250722566 43 152 223
0.00263081351481 45 154 227
0.00250250722566 45 154 227
0.00215392793018 44 152 223
0.00167748075871 44 152 223
0.00118210071139 44 152 223
0.000753740691637 44 151 224
0.000434870549116 47 154 228
0.000434870549116 129 100 219
0.000753740691637 135 110 225
0.00118210071139 135 108 228
0.00167748075871 147 129 233
0.00215392793018 147 128 235
0.00250250722566 152 137 243
0.00263081351481 152 137 243
0.00250250722566 147 123 224
0.00215392793018 147 127 217
0.00167748075871 129 103 213
0.00118210071139 129 105 209
0.000753740691637 117 106 219
0.000434870549116 117 106 219
0.000753740691637 129 100 219
0.00130642332847 135 111 222
0.00204887962545 135 112 220
0.00290749858744 148 115 255
0.00373330208526 148 115 255
0.00433747820111 150 124 255
0.00455986546398 150 124 255
0.00433747820111 147 122 225
0.00373330208526 147 128 216
0.00290749858744 129 101 217
0.00204887962545 129 104 211
0.00130642332847 117 106 219
0.000753740691637 117 106 219
0.00118210071139 142 114 219
0.00204887962545 158 147 255
0.00321328288319 158 149 251
0.00455986546398 157 142 255
0.00585498315243 155 126 255
0.00680251991709 156 145 255
0.00715129257136 154 135 255
0.00680251991709 159 147 254
0.00585498315243 159 148 252
0.00455986546398 155 135 235
0.00321328288319 155 136 233
0.00204887962545 144 121 225
0.00118210071139 144 126 216
0.00167748075871 142 111 226
0.00290749858744 156 133 255
0.00455986546398 156 134 255
0.00647075710589 158 148 255
0.00830861658918 157 138 255
0.00965323526301 156 146 255
0.0101481672185 157 152 255
0.00965323526301 156 128 255
0.00830861658918 158 139 255
0.00647075710589 155 129 245
0.00455986546398 155 129 245
0.00290749858744 144 118 231
0.00167748075871 144 123 222
0.00215392793018 147 102 228
0.00373330208526 156 132 255
